winners	errors	players	victory
71	64	Roger Federer	0
46	42	Roger Federer	1
50	48	Roger Federer	1
45	19	Roger Federer	1
26	21	Novak Djokovic	1
57	44	Novak Djokovic	1
47	61	Novak Djokovic	1
46	35	Novak Djokovic	1
50	41	Rafa Nadal	1
44	71	Rafa Nadal	0
19	32	Rafa Nadal	0
